AreaCode,AreaName,Date,CumulatedCase,CumulatedDeath,CumulatedFirstVaccin
E12000003,Yorkshire and The Humber,23/3/2022,1681338,16458,4194911
E12000004,East Midlands,23/3/2022,1473993,14701,3762662
E12000005,West Midlands,23/3/2022,1776928,19213,4443483
E12000006,East of England,23/3/2022,1873414,18266,4893179
E12000007,London,23/3/2022,2718013,23010,6442871
E12000008,South East,23/3/2022,2763061,24973,7314205
E12000009,South West,23/3/2022,1577099,10880,4602331
K02000001,United Kingdom,23/3/2022,30583.8,190348,52754119
E12000001,North East,22/3/2022,870897,8838,2083580
E12000002,North West,22/3/2022,2397609,25445,5605716
E12000003,Yorkshire and The Humber,22/3/2022,1674228,16448,4194709
E12000004,East Midlands,22/3/2022,1466985,14690,3762561
E12000005,West Midlands,22/3/2022,1768898,19205,4443346
E12000006,East of England,22/3/2022,1862962,18253,4893065
E12000007,London,22/3/2022,2707675,23003,6442275
E12000008,South East,22/3/2022,2746725,24946,7314041
E12000009,South West,22/3/2022,1564741,10856,4602103
K02000001,United Kingdom,22/3/2022,30431.4,190194,52756382
E12000001,North East,21/3/2022,868013,8832,2083478
E12000002,North West,21/3/2022,2389015,25428,5605574
E12000003,Yorkshire and The Humber,21/3/2022,1668079,16434,4194654
E12000004,East Midlands,21/3/2022,1461078,14683,3762506
E12000005,West Midlands,21/3/2022,1762372,19197,4443270
E12000006,East of England,21/3/2022,1853602,18238,4892896
E12000007,London,21/3/2022,2699255,22992,6441619
E12000008,South East,21/3/2022,2732030,24921,7313937
E12000009,South West,21/3/2022,1553127,10843,4602030
K02000001,United Kingdom,21/3/2022,30290.8,190034,52751751
E12000001,North East,20/3/2022,,8826,2083379
E12000002,North West,20/3/2022,,25409,5605187
E12000003,Yorkshire and The Humber,20/3/2022,,16424,4194425
E12000004,East Midlands,20/3/2022,,14671,3762359
E12000005,West Midlands,20/3/2022,,19183,4443012
E12000006,East of England,20/3/2022,,18225,4892624
E12000007,London,20/3/2022,,22984,6440633
E12000008,South East,20/3/2022,,24906,7313559
E12000009,South West,20/3/2022,,10827,4601745
K02000001,United Kingdom,20/3/2022,29954.4,189881,52747246
E12000001,North East,19/3/2022,,8824,2083187
E12000002,North West,19/3/2022,,25399,5604317
E12000003,Yorkshire and The Humber,19/3/2022,,16401,4193946
E12000004,East Midlands,19/3/2022,,14663,3761907
E12000005,West Midlands,19/3/2022,,19169,4442409
E12000006,East of England,19/3/2022,,18215,4892178
E12000007,London,19/3/2022,,22973,6438743
E12000008,South East,19/3/2022,,24879,7312799
E12000009,South West,19/3/2022,,10812,4601226
K02000001,United Kingdom,19/3/2022,29954.4,189716,52740240
E12000001,North East,18/3/2022,861190,8821,2083187
E12000002,North West,18/3/2022,2368518,25380,5604317
E12000003,Yorkshire and The Humber,18/3/2022,1652924,16386,4193946
E12000004,East Midlands,18/3/2022,1446216,14653,3761907
E12000005,West Midlands,18/3/2022,1745706,19159,4442409
E12000006,East of England,18/3/2022,1829448,18200,4892178
E12000007,London,18/3/2022,2675891,22960,6438743
E12000008,South East,18/3/2022,2694604,24864,7312799
E12000009,South West,18/3/2022,1525243,10796,4601226
K02000001,United Kingdom,18/3/2022,29954.4,189556,52730003
E12000001,North East,17/3/2022,858664,8816,2083187
E12000002,North West,17/3/2022,2360588,25368,5604317
E12000003,Yorkshire and The Humber,17/3/2022,1647610,16370,4193946
E12000004,East Midlands,17/3/2022,1440927,14641,3761907
E12000005,West Midlands,17/3/2022,1740016,19147,4442409
E12000006,East of England,17/3/2022,1820795,18186,4892178
E12000007,London,17/3/2022,2667461,22948,6438743
E12000008,South East,17/3/2022,2680985,24845,7312799
E12000009,South West,17/3/2022,1514890,10780,4601226
K02000001,United Kingdom,17/3/2022,29817,189390,52725660
E12000001,North East,16/3/2022,855912,8814,2083044
E12000002,North West,16/3/2022,2352728,25357,5603967
E12000003,Yorkshire and The Humber,16/3/2022,1641978,16360,4193797
E12000004,East Midlands,16/3/2022,1435055,14632,3761828
E12000005,West Midlands,16/3/2022,1733971,19136,4442176
E12000006,East of England,16/3/2022,1810832,18175,4891997
E12000007,London,16/3/2022,2657971,22937,6437986
E12000008,South East,16/3/2022,2665318,24825,7312496
E12000009,South West,16/3/2022,1503225,10761,4601147
